Timestamp,Username,What is your current position?,In what kind of research institute do you work?,"Which of these software do you use for your Quant Analysis.  [PeptideAtlas (StPeter, Libra, XPress)]",Which of these software do you use for your Quant Analysis.  [OpenMS],Which of these software do you use for your Quant Analysis.  [Other],Which of these software do you use for your Quant Analysis.  [MSnBase (PMID:22113085)],Which of these software do you use for your Quant Analysis.  [moFF],Which of these software do you use for your Quant Analysis.  [FlashLFQ (PMID:29083185)],Which of these software do you use for your Quant Analysis.  [diffacto],Which of these software do you use for your Quant Analysis.  [Skyline],Which of these software do you use for your Quant Analysis.  [Proline (http://www.profiproteomics.fr)],Which of these software do you use for your Quant Analysis.  [MaxQuant],Which of these software do you use for your Quant Analysis.  [Philosopher (Alexey Lab)],Which of these software do you use for your Quant Analysis.  [Patterlab (PMID:26658470)],Which of these software do you use for your Quant Analysis.  [EncyclopeDIA (PMID: 30510204)],Which of these software do you use for your Quant Analysis.  [Census],Which of these software do you use for your Quant Analysis.  [HIQuant (PMID:30282776)],Which commercial software do you use for your Quant Analysis.  [Scaffold],Which commercial software do you use for your Quant Analysis.  [Peak View ],Which commercial software do you use for your Quant Analysis.  [Spectronaut],Which commercial software do you use for your Quant Analysis.  [Progenesis],Which commercial software do you use for your Quant Analysis.  [Mascot ],Which commercial software do you use for your Quant Analysis.  [Proteome Discover],Which commercial software do you use for your Quant Analysis.  [Other],Which commercial software do you use for your Quant Analysis.  [Peaks],If you use other software please add a reference here and a the URL of the tool. You can add also comments.,Which are the features that make you to chose the following software for your data analysis [moFF],Which are the features that make you to chose the following software for your data analysis [EncyclopeDIA (PMID: 30510204)],Which are the features that make you to chose the following software for your data analysis [FlashLFQ (PMID:29083185)],Which are the features that make you to chose the following software for your data analysis [Skyline],"Which are the features that make you to chose the following software for your data analysis [PeptideAtlas (StPeter, Libra, XPress)]",Which are the features that make you to chose the following software for your data analysis [MSnBase (PMID:22113085)],Which are the features that make you to chose the following software for your data analysis [Other],Which are the features that make you to chose the following software for your data analysis [Philosopher (Alexey Lab)],Which are the features that make you to chose the following software for your data analysis [OpenMS],Which are the features that make you to chose the following software for your data analysis [Patterlab (PMID:26658470)],Which are the features that make you to chose the following software for your data analysis [diffacto],Which are the features that make you to chose the following software for your data analysis [Proline (http://www.profiproteomics.fr)],Which are the features that make you to chose the following software for your data analysis [Census],Which are the features that make you to chose the following software for your data analysis [MaxQuant],Which are the features that make you to chose the following software for your data analysis [HIQuant (PMID:30282776)],"Which packages do you use for downstream analysis: normalisation, Batch effect corrections.  ",If you use another packages for downstream analysis can you add them here: URL/Citation.,Which Search engine free do you use,Search engine and type of analysis  [Tide],Search engine and type of analysis  [Sequest],Search engine and type of analysis  [MetaMorpheus],Search engine and type of analysis  [MSGF+],Search engine and type of analysis  [Andromeda],Search engine and type of analysis  [Comet],Search engine and type of analysis  [MSPepSearch],Search engine and type of analysis  [MSFragger],Search engine and type of analysis  [SpectraST ],Search engine and type of analysis  [OMSSA],Search engine and type of analysis  [X!Tandem],Search engine and type of analysis  [MSAmanda],Search engine and type of analysis  [Mascot],"Which type of Protein quant data you would like to see more in proteomics resources. (e.g. PeptideAtlas, ProteomicsDB, etc) [Label-Free Differential expression experiments]","Which type of Protein quant data you would like to see more in proteomics resources. (e.g. PeptideAtlas, ProteomicsDB, etc) [Label-Free Base line expression experiments]","Which type of Protein quant data you would like to see more in proteomics resources. (e.g. PeptideAtlas, ProteomicsDB, etc) [TMT Differential expression experiments]","Which type of Protein quant data you would like to see more in proteomics resources. (e.g. PeptideAtlas, ProteomicsDB, etc) [TMT Base line expression experiments]","Which type of Protein quant data you would like to see more in proteomics resources. (e.g. PeptideAtlas, ProteomicsDB, etc) [SRM/MR expression Experiments]","Which type of Protein quant data you would like to see more in proteomics resources. (e.g. PeptideAtlas, ProteomicsDB, etc) [DIA/SWATH expression experiments]",In case you would like to see something else more represented in Proteomics resources let us know. ,
2019/02/11 4:47:05 PM GMT,user103,Principal Investigator,Research Institute,,,,,Label Free Spectral Count Analysis,,,SWATH / DIA Quant,,,,,,,,SWATH / DIA Quant;Label Free Spectral Count Analysis,,SWATH / DIA Quant,,Label Free Spectral Count Analysis,TMT analysis;Label Free Analysis MS1;Label Free Spectral Count Analysis,Label Free Spectral Count Analysis,,"It isn’t easy for many files, but emPAI from PeptideShaker is something I use on one project. ",,,,,,,,,,,,,,,,Limma;edgeR;Inferno,https://omics.pnl.gov/software/infernordn,MSGF+;Mascot;Sequest;MSPepSearch,,Normal Peptide/Protein identification;Phospho proteomics analysis;Analytical/Bioinformatics methods development;Protein Characterisation,,Normal Peptide/Protein identification;ProteoGenomics;Analytical/Bioinformatics methods development,,,Normal Peptide/Protein identification;Phospho proteomics analysis,,,,,,Normal Peptide/Protein identification;Phospho proteomics analysis;Analytical/Bioinformatics methods development;Protein Characterisation,,,,,,,,
2019/02/11 4:49:06 PM GMT,user104,Phd Student,University,,,,,,,,,,TMT analysis;Label Free Analysis MS1,,,,,,Label Free Analysis MS1,Label Free Analysis MS1;Phospho Quant analysis,,Label Free Analysis MS1;Phospho Quant analysis,Label Free Analysis MS1;Phospho Quant analysis,,,,,,,,,,,,,,,,,,,,In house pipeline.,,Mascot,,,,,,,,,,,,,Normal Peptide/Protein identification;Phospho proteomics analysis,,,,,,,,
2019/02/11 5:11:32 PM GMT,user105,Phd Student,University,,,,,,,,TMT analysis,,TMT analysis,,,TMT analysis,,,,,,,TMT analysis,TMT analysis;SILAC analysis;Label Free Analysis MS1;Phospho Quant analysis;Other Quant analysis,,,,,,,,,,,,,,,,,,,In house pipeline.,,Mascot;Sequest,,Normal Peptide/Protein identification;Phospho proteomics analysis;ProteoGenomics,,,,,,,,,,,Normal Peptide/Protein identification;Phospho proteomics analysis;ProteoGenomics,,,,,,,,
2019/02/11 5:28:08 PM GMT,user106,Phd Student,University,,Label Free Analysis MS1;Other Quant analysis,Other Quant analysis,Label Free Spectral Count Analysis,,,,,,,,,,,,,,,,,TMT analysis,,,https://pyteomics.readthedocs.io/en/latest/,,,,,,,,,,,,,,,,MSnbase;In house pipeline.;edgeR,,MSGF+,,,,Normal Peptide/Protein identification;ProteoGenomics,,,,,,,,,,,,,,,,,
2019/02/11 6:19:45 PM GMT,user107,Phd Student,University,,SWATH / DIA Quant;Label Free Spectral Count Analysis,,,,,,SWATH / DIA Quant,,Label Free Spectral Count Analysis,,,,,,,,,,Label Free Spectral Count Analysis,Label Free Spectral Count Analysis,,Label Free Spectral Count Analysis,,,,,,,,,,,,,,,,,MSnbase;In house pipeline.,"mzR, protViz",Comet;MSGF+;MSFragger;Sequest,,Normal Peptide/Protein identification,,Normal Peptide/Protein identification;ProteoGenomics,,Normal Peptide/Protein identification;ProteoGenomics,,,,,,,Normal Peptide/Protein identification,,,,,,,,
2019/02/11 7:11:40 PM GMT,user108,Phd Student,University,,,,,,,,Phospho Quant analysis;Label Free Spectral Count Analysis,,,,,,,,,,,,,SILAC analysis;Label Free Analysis MS1;Phospho Quant analysis;Label Free Spectral Count Analysis,,,,,,,,,,,,,,,,,,,Perseus,,Sequest,,Normal Peptide/Protein identification;Phospho proteomics analysis,,,,,,,,,,,,,,,,,,,
2019/02/11 8:23:35 PM GMT,user109,Research Scientist - Staff,"Company, Start-up, Pharma",,,,,,,,Label Free Analysis MS1;Other Quant analysis,,TMT analysis;Label Free Analysis MS1;Phospho Quant analysis,,,,,,,,,,,TMT analysis;Label Free Analysis MS1;Phospho Quant analysis,,,,,,,,,,,,,,,,,,,Perseus,,Andromeda;Mascot;Sequest,,Normal Peptide/Protein identification;Phospho proteomics analysis,,,Normal Peptide/Protein identification;Phospho proteomics analysis,,,,,,,,Normal Peptide/Protein identification;Phospho proteomics analysis,,,,,,,,
2019/02/11 8:30:12 PM GMT,user110,Master's student,University,,,,,,,,Label Free Analysis MS1,,Label Free Analysis MS1;Label Free Spectral Count Analysis,,,,,,,,,,,,,Label Free Analysis MS1,,,,,,,,,,,,,,,,,In house pipeline.;Perseus,,MSGF+;Andromeda,,,,Normal Peptide/Protein identification,Normal Peptide/Protein identification,,,,,,,,,,,,,,,,
2019/02/11 8:52:29 PM GMT,user111,Principal Investigator,University,,Label Free Analysis MS1;SWATH / DIA Quant,,,,,,SWATH / DIA Quant,,,,,,,,,,SWATH / DIA Quant,,,,,,,,,,,,,,,,,,,,,,MSstats;In house pipeline.,,X!Tandem;Comet;Tide,,,,,,Normal Peptide/Protein identification,,,,,Normal Peptide/Protein identification,,,,,,,,,,
2019/02/11 9:31:27 PM GMT,user112,Research Scientist - Staff,Research Institute,,Label Free Analysis MS1;SWATH / DIA Quant,,,,,SWATH / DIA Quant,Label Free Analysis MS1;Phospho Quant analysis;Other Quant analysis,,TMT analysis;Label Free Analysis MS1;Phospho Quant analysis,,,,,,Other Quant analysis;Label Free Spectral Count Analysis,SWATH / DIA Quant,,,,,,,,,,,,,,,,,,,,,,,MSstats;http://normalyzer.immunoprot.lth.se/,,X!Tandem;Comet;MSGF+;Tide;Andromeda;MSAmanda;Mascot,Normal Peptide/Protein identification;Phospho proteomics analysis,,,Normal Peptide/Protein identification;Phospho proteomics analysis,Normal Peptide/Protein identification;Phospho proteomics analysis,Normal Peptide/Protein identification;Phospho proteomics analysis,,,,,Normal Peptide/Protein identification;Phospho proteomics analysis,Normal Peptide/Protein identification;Phospho proteomics analysis,Normal Peptide/Protein identification;Phospho proteomics analysis,,,,,,,,
2019/02/11 10:07:30 PM GMT,user113,Phd Student;Research Scientist - Staff,University,,,,,,,,Other Quant analysis,,,,,,,,,,,Label Free Analysis MS1,,,Label Free Analysis MS1,,ProteinLynx Global Server,,,,,,,,,,,,,,,,In house pipeline.;Perseus,,ProteinLynx Global Server,,,,,,,,,,,,,,,,,,,,,
2019/02/11 11:32:26 PM GMT,user114,Principal Investigator,University,,,,,,,,Label Free Spectral Count Analysis,,,,Label Free Analysis MS1;Other Quant analysis;Label Free Spectral Count Analysis,,,,,,,,,,,,,,,,,,,,,,Quality of the Results;Documentation and Support;Flexibility to develop pipelines;Free;Internal benchmark with other tools suggest better/similar results,,,,,,,,Mascot,,,,,,,,,,,,,,,,,,,,,
2019/02/12 12:20:57 AM GMT,user115,Phd Student,University,SWATH / DIA Quant,SWATH / DIA Quant,,,,,,SWATH / DIA Quant,,,,,,,,,,,,,,,,,,,,Desktop Application;Free,,,,,Documentation and Support;Easy to run in HPC / Cloud enviroments;Open Source;Free,,,,,,,In house pipeline.;Limma,,,,,,,,,,,,,,,,,,,,,,,
2019/02/12 1:47:12 AM GMT,user116,Research Scientist - Staff;Project Manager,University,,,,,Label Free Analysis MS1,Label Free Analysis MS1,,,,TMT analysis;SILAC analysis;Label Free Analysis MS1;Label Free Spectral Count Analysis,,,,,,Label Free Spectral Count Analysis,,,,Label Free Spectral Count Analysis,,Other Quant analysis,,ProteinPilot,Flexibility to develop pipelines;Open Source,,,,,,,,,,,,,Easy to use;Support for multiple Quant methods;Desktop Application;Quality of the Results;Documentation and Support;Maturity (No much errors);Internal benchmark with other tools suggest better/similar results,,Limma;Perseus,,X!Tandem;MSGF+;OMSSA;Andromeda;MSAmanda;Mascot;Sequest,,,,Normal Peptide/Protein identification;ProteoGenomics,Normal Peptide/Protein identification;ProteoGenomics,Normal Peptide/Protein identification;ProteoGenomics,,,,Normal Peptide/Protein identification;ProteoGenomics,Normal Peptide/Protein identification;ProteoGenomics;Analytical/Bioinformatics methods development,,,,,,,,,,
2019/02/12 1:53:53 AM GMT,user117,Research Scientist - Staff,University,,,,,Label Free Analysis MS1,Label Free Analysis MS1,,,,Label Free Analysis MS1;SWATH / DIA Quant;Label Free Spectral Count Analysis,,,,,,,,,,,,,,,Easy to use;Desktop Application;Quality of the Results;Documentation and Support;Easy to run in HPC / Cloud enviroments;Flexibility to develop pipelines;Compatibility with other softwares;Open Source;Free;Internal benchmark with other tools suggest better/similar results,,Easy to use;Desktop Application;Quality of the Results;Documentation and Support;Easy to run in HPC / Cloud enviroments;Flexibility to develop pipelines;Open Source;Free;Internal benchmark with other tools suggest better/similar results,,,,,,,,,,,Easy to use;Support for multiple Quant methods;Desktop Application;Quality of the Results;Documentation and Support;Maturity (No much errors);Free;Internal benchmark with other tools suggest better/similar results,,Limma,,X!Tandem;Comet;MSGF+;OMSSA,,,,Normal Peptide/Protein identification;Phospho proteomics analysis;ProteoGenomics;Analytical/Bioinformatics methods development;Protein Characterisation,,Normal Peptide/Protein identification;Phospho proteomics analysis;ProteoGenomics;Analytical/Bioinformatics methods development;Protein Characterisation,,,,Normal Peptide/Protein identification;Phospho proteomics analysis;ProteoGenomics;Analytical/Bioinformatics methods development;Protein Characterisation,Normal Peptide/Protein identification;Phospho proteomics analysis;ProteoGenomics;Analytical/Bioinformatics methods development;Protein Characterisation,,,,,,,,,,
2019/02/12 8:40:52 AM GMT,user118,Post-Doc;Research Scientist - Staff;Project Manager;Director,Core Facility,,,,,,,,Other Quant analysis,,Label Free Analysis MS1;Phospho Quant analysis,Label Free Analysis MS1,Label Free Spectral Count Analysis,,,,,,,,Label Free Analysis MS1,Label Free Analysis MS1,,Label Free Analysis MS1,,,,,Easy to use;Desktop Application;Documentation and Support;Free;Internal benchmark with other tools suggest better/similar results,,,,Easy to use;Open Source;Free,,Easy to use;Open Source;Free,,,,Easy to use;Quality of the Results;Compatibility with other softwares;Maturity (No much errors);Free;Internal benchmark with other tools suggest better/similar results,,In house pipeline.;Perseus,,X!Tandem;MSGF+;Andromeda;MSFragger;Mascot;Sequest,,Normal Peptide/Protein identification;Protein Characterisation,,,Normal Peptide/Protein identification;Phospho proteomics analysis;Protein Characterisation,,,Phospho proteomics analysis,,,Normal Peptide/Protein identification,,Normal Peptide/Protein identification;Protein Characterisation,,,,,,,,
2019/02/12 9:47:37 AM GMT,user119,Phd Student,Research Institute,,,,,,Other Quant analysis,,,,,,,,,,,,,,,,,,,,,Easy to use;Desktop Application;Documentation and Support;Open Source;Free;Internal benchmark with other tools suggest better/similar results,,,,,,,,,,,,,,,Mascot;Metamorpheus,,,,,,,,,,,,,Normal Peptide/Protein identification,,,,,,,,
2019/02/12 12:06:49 PM GMT,user120,Post-Doc,University,,,,,Label Free Analysis MS1,,,,,Label Free Analysis MS1,Label Free Spectral Count Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,Quality of the Results;Maturity (No much errors);Open Source;Free,,MSstats;Perseus,,Andromeda;MSFragger,,,,,Normal Peptide/Protein identification,,,,,,,,,,,,,,,,
2019/02/12 12:12:52 PM GMT,user121,Phd Student,University,,,,,,,,,,Label Free Spectral Count Analysis,,,,,,,,SWATH / DIA Quant,,TMT analysis;Label Free Analysis MS1;Phospho Quant analysis,TMT analysis;Phospho Quant analysis,,,,,,,,,,,,,,,,,,,Limma;Perseus,,Mascot,,,,,,,,,,,,,,,,,,,,,
2019/02/12 12:12:53 PM GMT,user122,Research Scientist - Staff,Research Institute,,,,TMT analysis;SILAC analysis,,,,TMT analysis;SILAC analysis,,TMT analysis;SILAC analysis,,,,,,TMT analysis;SILAC analysis;Label Free Analysis MS1;Phospho Quant analysis;Label Free Spectral Count Analysis,,,,,TMT analysis;SILAC analysis;Label Free Analysis MS1;Phospho Quant analysis,,TMT analysis;SILAC analysis;Label Free Analysis MS1;Label Free Spectral Count Analysis,,,,,Easy to use;Support for multiple Quant methods;Desktop Application;Quality of the Results;Flexibility to develop pipelines;Compatibility with other softwares;Open Source;Free,,Desktop Application;Documentation and Support;Flexibility to develop pipelines;Compatibility with other softwares;Open Source;Free,,,,,,,,Easy to use;Support for multiple Quant methods;Desktop Application;Quality of the Results;Compatibility with other softwares;Open Source;Free,,MSnbase;In house pipeline.;Limma;Perseus,,MSGF+;Andromeda;Mascot,,,,,,,,,,,,,,,,,,,,,
2019/02/12 2:01:27 PM GMT,user123,Post-Doc,University,,,,,,,,,,,,,,,,,,SWATH / DIA Quant,,,TMT analysis;SILAC analysis;Label Free Analysis MS1,,,,,,,,,,,,,,,,,,,MSstats;In house pipeline.,,MSAmanda;Sequest;MSPepSearch,,Normal Peptide/Protein identification;Analytical/Bioinformatics methods development,,,,,Normal Peptide/Protein identification;Analytical/Bioinformatics methods development,,,,,Normal Peptide/Protein identification;Analytical/Bioinformatics methods development,,,,,,,,,
2019/02/12 2:55:15 PM GMT,user124,Research Scientist - Staff,University,,,,,,,,SILAC analysis;Label Free Analysis MS1;SWATH / DIA Quant;Other Quant analysis,,SILAC analysis;Label Free Analysis MS1,,,,,,SILAC analysis;Label Free Analysis MS1;Other Quant analysis;Label Free Spectral Count Analysis,,,Label Free Analysis MS1;Other Quant analysis,Label Free Analysis MS1;Other Quant analysis;Label Free Spectral Count Analysis,Label Free Analysis MS1;Other Quant analysis;Label Free Spectral Count Analysis,,,,,,,Easy to use;Support for multiple Quant methods;Desktop Application;Quality of the Results;Documentation and Support;Flexibility to develop pipelines;Compatibility with other softwares;Maturity (No much errors);Open Source;Free,,,,,,,,,,Support for multiple Quant methods;Quality of the Results;Easy to run in HPC / Cloud enviroments;Compatibility with other softwares;Open Source;Free;Internal benchmark with other tools suggest better/similar results,,In house pipeline.;Perseus,,Andromeda;Mascot;Sequest,,Normal Peptide/Protein identification;Analytical/Bioinformatics methods development;Protein Characterisation,,,Analytical/Bioinformatics methods development,,,,,,,,Normal Peptide/Protein identification;Analytical/Bioinformatics methods development;Protein Characterisation,,,,,,,,
2019/02/12 2:59:07 PM GMT,user125,Principal Investigator,University,,,,,,,,,,TMT analysis;Label Free Analysis MS1;Phospho Quant analysis;Other Quant analysis;Label Free Spectral Count Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support for multiple Quant methods;Quality of the Results;Easy to run in HPC / Cloud enviroments;Compatibility with other softwares;Maturity (No much errors);Free;Internal benchmark with other tools suggest better/similar results,,In house pipeline.;Perseus;edgeR,,Andromeda,,,,,Normal Peptide/Protein identification;Phospho proteomics analysis;ProteoGenomics;Analytical/Bioinformatics methods development,,,,,,,,,,,,,,,,
2019/02/12 5:42:10 PM GMT,user126,Phd Student,University,,,,,,,,SWATH / DIA Quant,,,,,SWATH / DIA Quant,,,,,,,,,,,,,Easy to use;Support for multiple Quant methods;Desktop Application;Quality of the Results;Documentation and Support;Compatibility with other softwares;Maturity (No much errors);Open Source;Free,,Easy to use;Support for multiple Quant methods;Desktop Application;Quality of the Results;Documentation and Support;Compatibility with other softwares;Maturity (No much errors);Open Source;Free,,,,,,,,,,,,MSstats;In house pipeline.,,Comet;Tide,Normal Peptide/Protein identification,,,,,Normal Peptide/Protein identification,,,,,,,,,,,,,,,
2019/02/12 6:30:20 PM GMT,user127,Research Scientist - Staff;CEO,"Company, Start-up, Pharma",,,TMT analysis,TMT analysis,,,,,,,,,,,,Label Free Spectral Count Analysis,,,,,,TMT analysis;Phospho Quant analysis;Label Free Spectral Count Analysis,,https://www.agilent.com/en/products/software-informatics/masshunter-suite/masshunter-for-life-science-research/spectrum-mill,,,,,,Quality of the Results,,,,,,,,,,MSnbase;Limma,,Comet;Andromeda;Sequest;Spectrum Mill,,Normal Peptide/Protein identification,,,,Normal Peptide/Protein identification;Phospho proteomics analysis,,,,,,,,Differential expression experiments reanalysed with same pipeline,Differential expression experiments reanalysed with same pipeline,,,,,,
2019/02/12 9:54:40 PM GMT,user128,Post-Doc,University,,TMT analysis,,,,,,,,Label Free Analysis MS1,,,,,,,,,,,,,,,,,,,,,,,Quality of the Results;Documentation and Support;Easy to run in HPC / Cloud enviroments;Flexibility to develop pipelines;Open Source;Free,,,,,Easy to use;Quality of the Results;Free,,MSnbase;In house pipeline.;Msstitch,GitHub.com/glormph/msstitch,MSGF+;Andromeda,,,,Normal Peptide/Protein identification;ProteoGenomics;Analytical/Bioinformatics methods development,Normal Peptide/Protein identification;Phospho proteomics analysis,,,,,,,,,,,Dataset oriented view;Meta-analysis view (multiple datasets combined),Dataset oriented view;Meta-analysis view (multiple datasets combined),,Dataset oriented view;Meta-analysis view (multiple datasets combined),,
2019/02/13 12:11:23 AM GMT,user129,Research Scientist - Staff,University,,,,,,SILAC analysis;Label Free Analysis MS1;Other Quant analysis,,,,,,,,,,,,,,,,,,,,,Easy to use;Desktop Application;Quality of the Results;Documentation and Support,,,,,,,,,,,,,Perseus,,MetaMorpheus,,,Normal Peptide/Protein identification;Phospho proteomics analysis;ProteoGenomics;Analytical/Bioinformatics methods development;Protein Characterisation,,,,,,,,,,,Dataset oriented view;Meta-analysis view (multiple datasets combined),Dataset oriented view;Meta-analysis view (multiple datasets combined),,,,,,
2019/02/13 12:21:25 AM GMT,user130,Post-Doc,University,,,,,,Label Free Analysis MS1;Label Free Spectral Count Analysis,,,,Label Free Analysis MS1;Label Free Spectral Count Analysis,,,,,,,,,,,,,,,,,Quality of the Results;Open Source;Free,,,,,,,,,,,Documentation and Support,,Perseus;MetaMorpheus's integrated normalization (new feature),,MSFragger;MetaMorpheus,,,Normal Peptide/Protein identification;ProteoGenomics;Analytical/Bioinformatics methods development,,,,,Normal Peptide/Protein identification,,,,,,,,,,,,I want more data visualization libraries in python to use in Jupyter notebooks.,
2019/02/13 1:56:49 AM GMT,user131,Research Scientist - Staff,"Hospital, Research Hospital",,,TMT analysis;Phospho Quant analysis;Label Free Spectral Count Analysis,,,,,Label Free Analysis MS1;SWATH / DIA Quant,,TMT analysis;SILAC analysis;Label Free Analysis MS1,,,,,,,,,,,TMT analysis;Phospho Quant analysis;Label Free Spectral Count Analysis,,,PAW pipeline (https://github.com/pwilmart/PAW_pipeline.git),,,,,,,,,,,,,,Support for multiple Quant methods;Desktop Application;Free,,PAW pipeline (https://t.co/BtiFHAAKU7);Limma;edgeR;R and Python,,Comet;Andromeda;Sequest;I never use Andromeda outside of MQ,,Normal Peptide/Protein identification,,,,Normal Peptide/Protein identification;Protein Characterisation,,,,,,,,,,Dataset oriented view,,,,"I do not know what ""base line"" means (test experiments?). More than one quant method on the same system might be useful. The system and how it behaves should be independent of the quant method (within quant methods biases, of course). SPS MS3 and MS2 TMT on same samples would be nice to see. TMT and label-free (at least with a subset of samples being the same). Etc.",
2019/02/13 2:55:37 AM GMT,user132,Phd Student,"Hospital, Research Hospital",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X!Tandem;Comet;MSGF+;OMSSA;MSFragger,,,,Normal Peptide/Protein identification;Phospho proteomics analysis,,Normal Peptide/Protein identification,,Normal Peptide/Protein identification,,Normal Peptide/Protein identification,Normal Peptide/Protein identification;Phospho proteomics analysis,,,,,Dataset oriented view,,,,,
2019/02/13 8:58:50 AM GMT,user133,Research Scientist - Staff,Core Facility,,,,,,,,Other Quant analysis,,TMT analysis;SILAC analysis;Label Free Analysis MS1;Phospho Quant analysis;Other Quant analysis,,,,,,,,,,TMT analysis,TMT analysis,,,,,,,Quality of the Results;Documentation and Support;Easy to run in HPC / Cloud enviroments;Maturity (No much errors);Open Source;Free,,,,,,,,,,Easy to use;Support for multiple Quant methods;Quality of the Results;Easy to run in HPC / Cloud enviroments;Maturity (No much errors);Open Source;Free,,In house pipeline.;Limma;Perseus,,MSGF+;Andromeda;MSFragger;Mascot;Sequest;MetaMorpheus,,,Normal Peptide/Protein identification;Phospho proteomics analysis,Normal Peptide/Protein identification;Phospho proteomics analysis,Normal Peptide/Protein identification;Phospho proteomics analysis,,,Normal Peptide/Protein identification;Phospho proteomics analysis,,,,,Normal Peptide/Protein identification;Phospho proteomics analysis,Dataset oriented view;Meta-analysis view (multiple datasets combined),,Dataset oriented view;Meta-analysis view (multiple datasets combined),,,,,
2019/02/13 10:13:16 AM GMT,user134,Principal Investigator;Post-Doc,Research Institute,,,,,,,,,,Label Free Spectral Count Analysis,,,,,,,,,,,Label Free Analysis MS1,,,,,,,,,,,,,,,,,,,In house pipeline.;Perseus,,Comet;MSGF+;Sequest,,Normal Peptide/Protein identification;ProteoGenomics,,,,,,,,,,,,Meta-analysis view (multiple datasets combined),,,,,Meta-analysis view (multiple datasets combined),,
2019/02/13 10:27:25 AM GMT,user135,Post-Doc,University,,,,,,,,Label Free Analysis MS1;Phospho Quant analysis,,Label Free Analysis MS1;Phospho Quant analysis,,,,,,,,,,,,,,,,,,Easy to use;Quality of the Results;Documentation and Support;Maturity (No much errors);Free;Internal benchmark with other tools suggest better/similar results,,,,,,,,,,Easy to use;Support for multiple Quant methods;Quality of the Results;Documentation and Support;Maturity (No much errors);Free,,Perseus,,Andromeda;MSAmanda;Sequest,,Normal Peptide/Protein identification;Phospho proteomics analysis,,,Normal Peptide/Protein identification;Phospho proteomics analysis,,,,,,,Normal Peptide/Protein identification;Phospho proteomics analysis,,Dataset oriented view;Meta-analysis view (multiple datasets combined),Dataset oriented view;Meta-analysis view (multiple datasets combined),,,Dataset oriented view;Meta-analysis view (multiple datasets combined),,,
2019/02/13 10:47:36 AM GMT,user136,Head of Core Facility Proteomics,Research Institute,,,TMT analysis;SWATH / DIA Quant,,,,,,,Label Free Analysis MS1,,,,,,Label Free Spectral Count Analysis,,SWATH / DIA Quant,,TMT analysis,TMT analysis,,,,,,,,,,Easy to use;Desktop Application,,,,,,,Easy to use;Support for multiple Quant methods;Desktop Application;Free;Internal benchmark with other tools suggest better/similar results,,MSstats;MSnbase;In house pipeline.;Limma,,Andromeda;Mascot;Pulsar,,,,,Normal Peptide/Protein identification;Phospho proteomics analysis,,,,,,,,Normal Peptide/Protein identification,,,Meta-analysis view (multiple datasets combined),,,Meta-analysis view (multiple datasets combined),,
2019/02/13 11:41:49 AM GMT,user137,Phd Student,University,,TMT analysis;SILAC analysis;Label Free Analysis MS1;Phospho Quant analysis,,,,,Label Free Analysis MS1,,,,,,,,,,,,,,,,,,,,,,,,,,Support for multiple Quant methods;Desktop Application;Documentation and Support;Flexibility to develop pipelines;Compatibility with other softwares;Open Source;Free,,Quality of the Results;Open Source;Free;Internal benchmark with other tools suggest better/similar results,,,,,MSstats;edgeR,,X!Tandem;Comet;MSGF+;OMSSA,,,,Normal Peptide/Protein identification;Phospho proteomics analysis;Analytical/Bioinformatics methods development,,Normal Peptide/Protein identification;Phospho proteomics analysis;Analytical/Bioinformatics methods development,,,,Normal Peptide/Protein identification;Phospho proteomics analysis,Normal Peptide/Protein identification;Phospho proteomics analysis;Analytical/Bioinformatics methods development,,,Dataset oriented view;Meta-analysis view (multiple datasets combined),,,,,,,
2019/02/13 12:03:34 PM GMT,user138,Student,University,,,TMT analysis;Label Free Analysis MS1,,,,,SILAC analysis;Label Free Spectral Count Analysis,,,,,,,,,,SWATH / DIA Quant,,,,,TMT analysis,https://github.com/pyQms/pyqms,,,,Support for multiple Quant methods;Quality of the Results,,,,,,,,,,,,In house pipeline.,,X!Tandem;MSGF+;OMSSA;MSFragger;Mascot,,,,Normal Peptide/Protein identification;ProteoGenomics,,,,Normal Peptide/Protein identification;ProteoGenomics;Analytical/Bioinformatics methods development,,Normal Peptide/Protein identification,Normal Peptide/Protein identification,,Normal Peptide/Protein identification;Phospho proteomics analysis;Analytical/Bioinformatics methods development,Dataset oriented view,Dataset oriented view,Dataset oriented view,Dataset oriented view,,,,
2019/02/13 12:15:13 PM GMT,user139,Phd Student,Research Institute,,,,,,,,,,TMT analysis;SILAC analysis;Label Free Analysis MS1;Phospho Quant analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,Easy to use;Desktop Application;Free;Internal benchmark with other tools suggest better/similar results,,Perseus,,Andromeda,,,,,Normal Peptide/Protein identification;Phospho proteomics analysis;ProteoGenomics;Analytical/Bioinformatics methods development,,,,,,,,,,,,,,,,
